amfi_code,annual_return,annual_volatility,sharpe_ratio,scheme_name,fund_house
148567,0.2705662016691666,0.1419370675462029,1.448291170326253,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
120843,0.27260223833934705,0.15886986523609198,1.306743969542841,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
148569,0.28326161538880396,0.17674006691346633,1.234930025774331,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
119551,0.23103315461387058,0.13741434141879585,1.2082665673727138,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
120505,0.2926527249840699,0.1929094940631813,1.180101197660648,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
149323,0.26590814851466865,0.1774615939755078,1.132121852474721,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
100033,0.2721105684715233,0.18936710835214104,1.0936987435346328,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
118632,0.2180369513249992,0.1414835229499659,1.081659179345704,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
101206,0.21464662400230208,0.14568212847454265,1.0272133278753695,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
120504,0.2124476957328334,0.14363780566736595,1.0265242847992981,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
119094,0.25872785977673896,0.19407117423334658,0.9982309868636399,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119552,0.19788113344481625,0.1393936761271744,0.9532794968660092,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
149324,0.300931229977171,0.24840205005242044,0.9497958246616011,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
119598,0.3026559657235119,0.25140578624384613,0.9453082575156091,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
148568,0.20791821293359208,0.1542914446982323,0.9262873467360143,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
102885,0.16988800557692757,0.12836628397860497,0.8170993373494354,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
120503,0.17579404292470566,0.1388443751311973,0.7979728586052822,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
125497,0.17879963802436674,0.14668866752399456,0.7757902498211185,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
118635,0.151319440408635,0.12983158874316247,0.6648569985490604,Nippon India ETF Nifty 50 BeES,Nippon India MF
120506,0.16382758819054966,0.15230516379673004,0.6488787755249534,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
118633,0.15531106361835656,0.13997213649186094,0.6452074382933202,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
102887,0.16262585496628817,0.15758366917912933,0.6195175900829826,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
120507,0.06744844042758295,0.004939126259511571,0.49572339295190987,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120841,0.13154784519779864,0.13463795800784384,0.49427253786723085,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
149322,0.1316072849664985,0.14353859818510442,0.4640374492204747,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
118634,0.17819156428927652,0.25241520946340407,0.4484340089089892,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
125498,0.1201695926435299,0.1835243008733572,0.30061192104254486,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
101207,0.10696212277360734,0.2579732221707768,0.16266076928646747,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
119093,0.08312437838149472,0.13983295593638795,0.12961449795668886,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
120842,0.0785999562133639,0.17894715006571812,0.07599984804658429,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
119092,0.06929469030104371,0.13950661341123768,0.0307848509545839,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119599,0.050731865302329246,0.249501251228558,-0.057186625828181896,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
119095,0.04595602382589969,0.2506658023260038,-0.07597357117478931,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
120844,0.06454444499822505,0.005133170487370699,-0.0887472962169809,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
100016,0.03568302536201141,0.14548134802183812,-0.20151706755966986,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
102886,0.027673310029606085,0.18134576297311242,-0.20583160785470475,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
119120,0.056011613099589914,0.0396706236903381,-0.22657538662794546,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
118636,0.050786394904640556,0.039855381553881984,-0.3566295075144003,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
100025,0.04285355596222635,0.03905245528100099,-0.5670947928477084,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
101208,0.06086966398607668,0.0050643713523102615,-0.8155673679101643,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
