amfi_code,cagr_1y,cagr_3y,scheme_name,fund_house,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
148567,0.2036067830771186,0.3400091602163293,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.448291170326253,0.2711501636821085,-0.0281333122316571,-0.1126572907502827,1.46,2.0,1.0,7.0,23.0,8.0,6.499999999999999
120505,0.2960465933789364,0.317775371512347,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,1.180101197660648,0.2930137128256321,-0.0173911717430717,-0.1818851357211629,1.36,5.0,5.0,3.0,15.0,25.0,8.1
120843,0.2665708176085015,0.2958277033726251,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,1.306743969542841,0.2727835993505954,-0.0087373593539011,-0.1297396816518679,1.45,7.0,2.0,5.0,22.0,13.0,8.200000000000001
100033,0.5323239623092084,0.3244245942195611,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.0936987435346328,0.272343040395797,-0.011199710059456,-0.1621720857464484,1.38,4.0,7.0,6.0,17.0,20.0,8.7
120504,0.1306427926441797,0.3248742855621496,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.026524284799298,0.2120943009940047,0.0170253617669494,-0.1258827560692251,0.8,3.0,10.0,13.0,12.0,12.0,9.0
119094,0.222610651313422,0.3511180209642852,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.99823098686364,0.2599705405332096,-0.0598681505838663,-0.2096088386203919,1.38,1.0,11.0,9.0,17.0,28.0,10.2
119551,0.6043734071403091,0.3045652442030289,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,1.2082665673727138,0.232196480167172,-0.0560450856267461,-0.1501238549864533,1.54,6.0,4.0,10.0,30.5,17.0,11.075
148569,0.3975176148971702,0.2917890157839378,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,1.234930025774331,0.2834733647072862,-0.0102013650882717,-0.1639674294693263,1.6,8.0,3.0,4.0,36.5,21.0,11.525
101206,0.4792412023860102,0.2896769452874166,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.0272133278753697,0.2139447485061351,0.0338139845465916,-0.1129159632932307,1.6,9.0,9.0,12.0,36.5,9.0,13.725
119598,0.8277605861507404,0.2666992200118774,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.9453082575156092,0.3011144193309996,0.0742664848380288,-0.2870600572176455,1.43,12.0,14.0,1.0,21.0,36.0,14.049999999999999
149323,0.2148122219372625,0.268699908289022,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.132121852474721,0.2658359448078762,0.0034785300797905,-0.1724810575345138,1.61,11.0,6.0,8.0,38.0,22.0,14.3
149324,0.6513871892998797,0.2700042661451924,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.9497958246616012,0.2981786893056825,0.132608088240541,-0.3117190030063421,1.52,10.0,13.0,2.0,26.5,37.0,14.325
118632,0.339810484550213,0.2265235983009863,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.081659179345704,0.217280687755632,0.0364342177314725,-0.1741407508665723,1.51,14.0,8.0,11.0,24.5,23.0,14.375
119552,0.0570610004497402,0.1626737229462491,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.9532794968660092,0.198293221874914,-0.0198530250496758,-0.1180349350276429,0.66,23.0,12.0,15.0,4.0,11.0,14.599999999999998
125497,0.2867535802656873,0.1843448861052017,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.7757902498211185,0.1789129568352077,-0.005459316559049,-0.1520001305560639,0.92,19.0,18.0,16.0,14.0,18.0,17.299999999999997
118635,0.2249322493224934,0.2000820838047148,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.6648569985490604,0.1516060236354561,-0.0138066093715559,-0.1165062450540909,0.89,17.0,19.0,23.0,13.0,10.0,17.4
118633,0.2553998048395409,0.2108997654925684,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.6452074382933202,0.1550379507603408,0.0131576526190965,-0.1862974313859551,0.72,15.0,21.0,22.0,5.5,26.0,17.575
102885,0.2020770398309483,0.1966726206830185,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.8170993373494354,0.1699271155779468,-0.0018841874054637,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,18.999999999999996
148568,0.1426939413877892,0.1474803553358601,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.9262873467360144,0.2079171509667242,5.116196740955028e-05,-0.1527259422823477,1.52,24.0,15.0,14.0,26.5,19.0,19.625
120503,0.0848908126929441,0.1397838193370304,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.7979728586052822,0.1758793778524266,-0.0041111478360456,-0.1389786282306163,1.42,25.0,17.0,18.0,20.0,14.0,19.75
120506,0.4181904829701364,0.1842199653744454,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.6488787755249534,0.1628373148675314,0.0477080152025645,-0.1982565826298267,1.41,20.0,20.0,20.0,19.0,27.0,20.55
120507,0.0742505077613469,0.0739428630036007,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.4957233929519098,0.0674718015792676,-0.0011254611770456,-0.0009773140045925,0.74,29.0,23.0,31.0,7.0,1.0,21.8
119093,0.197667410165155,0.2081677117553586,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.1296144979566888,0.0832993122233761,-0.0084277200990193,-0.2175139637014822,0.75,16.0,29.0,28.0,8.0,31.0,21.950000000000003
102887,0.135831349444816,0.2555618790412652,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.6195175900829826,0.1617931645247025,0.0401162056200016,-0.2153982711238322,1.64,13.0,22.0,21.0,39.5,30.0,22.525000000000002
149322,0.1811115252275146,0.1804420648663613,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.4640374492204747,0.131299069926748,0.0148487568636677,-0.1484457691777174,1.54,21.0,25.0,24.0,30.5,16.0,23.525000000000002
125498,0.1544372083445184,0.1124522286662141,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.3006119210425448,0.1205538635048732,-0.0185128687895914,-0.2111727956013211,0.78,26.0,27.0,26.0,10.0,29.0,24.15
120844,0.0712032304212251,0.0669597162458699,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,-0.0887472962169809,0.0645460148798987,-7.563158272729523e-05,-0.0011629327956168,0.6,30.0,34.0,32.0,3.0,2.0,24.549999999999997
120841,0.1683709807538562,0.1726727508371786,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.4942725378672308,0.130682782685383,0.0416757823665358,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,25.25
118634,0.1581122197130093,0.0800792772865608,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.4484340089089892,0.178002091235662,0.0091281700841606,-0.2334488614483311,1.53,27.0,26.0,17.0,28.5,32.0,25.474999999999998
118636,0.1045493968304027,0.0406220502377714,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,-0.3566295075144003,0.0509626710648024,-0.0084923884480915,-0.083163617636387,0.55,33.0,38.0,35.0,1.0,6.0,27.15
119120,0.0552199551076268,0.0584035879846309,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,-0.2265753866279454,0.0557627231982894,0.0119906725941227,-0.0432872892397009,0.77,32.0,37.0,34.0,9.0,5.0,27.500000000000004
101208,0.0723664530138024,0.063157844913755,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,-0.8155673679101643,0.0608421129222599,0.0013273169546881,-0.0016224980244717,0.79,31.0,40.0,33.0,11.0,3.0,27.849999999999998
100025,0.0370496858046134,0.0391638995710403,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,-0.5670947928477084,0.0431893130787132,-0.0161756408512598,-0.0430826382463634,0.56,34.0,39.0,38.0,2.0,4.0,28.25
120842,0.2250195657587366,0.0775600355132728,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.0759998480465842,0.0785865149291684,0.0006475555544427,-0.2400351132627488,1.56,28.0,30.0,29.0,33.0,33.0,29.950000000000003
119599,0.1394780335518997,-0.0133738661448811,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-0.0571866258281818,0.0505724314527505,0.0076809829596528,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,31.424999999999997
119092,0.0160911867225226,0.0052588712097574,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.0307848509545839,0.069701708113571,-0.0196087398664679,-0.1440161790933726,1.64,36.0,31.0,30.0,39.5,15.0,31.974999999999998
101207,-0.2398603171027062,-0.0415238104485448,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.1626607692864674,0.1082045481215228,-0.0598558458646004,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,32.175
119095,-0.427976145588544,-0.1170580672399527,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-0.0759735711747893,0.0456801280646923,0.0132917234707354,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,34.1
100016,-0.0222427099771028,0.0129264934249562,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-0.2015170675596698,0.0362208258392739,-0.025909405765861,-0.247344408806733,1.55,35.0,35.0,39.0,32.0,34.0,35.25
102886,-0.167974809444073,-0.0076740631785472,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.2058316078547047,0.0289493662512491,-0.0614760674718827,-0.2800112356639287,1.51,37.0,36.0,40.0,24.5,35.0,35.275000000000006
