amfi_code,alpha,beta
100016,0.036220825839273905,-0.025909405765861027
100025,0.043189313078713244,-0.016175640851259873
100033,0.272343040395797,-0.011199710059456091
101206,0.21394474850613518,0.03381398454659165
101207,0.1082045481215228,-0.05985584586460046
101208,0.06084211292225991,0.0013273169546881148
102885,0.16992711557794682,-0.0018841874054637546
102886,0.0289493662512491,-0.06147606747188275
102887,0.1617931645247025,0.04011620562000168
118632,0.21728068775563206,0.03643421773147256
118633,0.1550379507603408,0.01315765261909657
118634,0.17800209123566202,0.00912817008416065
118635,0.15160602363545617,-0.013806609371555971
118636,0.05096267106480244,-0.008492388448091593
119092,0.06970170811357101,-0.01960873986646797
119093,0.08329931222337618,-0.008427720099019324
119094,0.25997054053320967,-0.059868150583866304
119095,0.04568012806469232,0.013291723470735487
119120,0.055762723198289496,0.011990672594122702
119551,0.23219648016717204,-0.05604508562674617
119552,0.19829322187491405,-0.0198530250496758
119598,0.3011144193309996,0.0742664848380288
119599,0.050572431452750595,0.007680982959652857
120503,0.1758793778524266,-0.004111147836045675
120504,0.21209430099400475,0.017025361766949448
120505,0.2930137128256321,-0.017391171743071778
120506,0.16283731486753145,0.047708015202564555
120507,0.0674718015792676,-0.0011254611770456582
120841,0.13068278268538303,0.04167578236653584
120842,0.07858651492916847,0.0006475555544427832
120843,0.27278359935059543,-0.008737359353901162
120844,0.0645460148798987,-7.563158272729523e-05
125497,0.17891295683520772,-0.0054593165590490315
125498,0.1205538635048732,-0.018512868789591456
148567,0.27115016368210854,-0.02813331223165713
148568,0.2079171509667242,5.116196740955028e-05
148569,0.28347336470728624,-0.010201365088271793
149322,0.13129906992674806,0.014848756863667783
149323,0.26583594480787626,0.0034785300797905744
149324,0.2981786893056825,0.13260808824054107
